"","FieldDivision","StatesCovered","Abb"
"1","Atlanta Field Division","Georgia","GA"
"2","Baltimore Field Division","Maryland","MD"
"3","Baltimore Field Division","Delaware","DE"
"4","Boston Field Division","Connecticut","CT"
"5","Boston Field Division","Maine","ME"
"6","Boston Field Division","Massachusetts","MA"
"7","Boston Field Division","New Hampshire","NH"
"8","Boston Field Division","Rhode Island","RI"
"9","Boston Field Division","Vermont","VT"
"10","Charlotte Field Division","North Carolina","NC"
"11","Charlotte Field Division","South Carolina","SC"
"12","Chicago Field Division","Illinois","IL"
"13","Chicago Field Division","Indiana","IN"
"14","Chicago Field Division","Wisconsin","WI"
"15","Columbus Field Division","Indiana","IN"
"16","Columbus Field Division","Ohio","OH"
"17","Dallas Field Division","New Mexico","NM"
"18","Dallas Field Division","Texas","TX"
"19","Dallas Field Division","Oklahoma","OK"
"20","Denver Field Division","Colorado","CO"
"21","Denver Field Division","Montana","MT"
"22","Denver Field Division","Utah","UT"
"23","Denver Field Division","Wyoming","WY"
"24","Detroit Field Division","Michigan","MI"
"25","Houston Field Division","Texas","TX"
"26","Kansas City Field Division","Illinois","IL"
"27","Kansas City Field Division","Iowa","IA"
"28","Kansas City Field Division","Kansas","KS"
"29","Kansas City Field Division","Missouri","MO"
"30","Kansas City Field Division","Nebraska","NE"
"31","Los Angeles Field Division","California","CA"
"32","Louisville Field Division","Kentucky","KY"
"33","Louisville Field Division","West Virginia","WV"
"34","Miami Field Division","Florida","FL"
"35","Miami Field Division","the Caribbean",NA
"36","Nashville Field Division","Alabama","AL"
"37","Nashville Field Division","Tennessee","TN"
"38","Newark Field Division","New Jersey","NJ"
"39","New Orleans Field Division","Arkansas","AR"
"40","New Orleans Field Division","Louisiana","LA"
"41","New Orleans Field Division","Mississippi","MS"
"42","New York Field Division","New York","NY"
"43","Philadelphia Field Division","Pennsylvania","PA"
"44","Phoenix Field Division","Arizona","AZ"
"45","Phoenix Field Division","New Mexico","NM"
"46","San Francisco Field Division","California","CA"
"47","San Francisco Field Division","Nevada","NV"
"48","Seattle Field Division","Alaska","AK"
"49","Seattle Field Division","Hawaii","HI"
"50","Seattle Field Division","Idaho","ID"
"51","Seattle Field Division","Oregon","OR"
"52","Seattle Field Division","Washington","WA"
"53","St. Paul Field Division","Minnesota","MN"
"54","St. Paul Field Division","North Dakota","ND"
"55","St. Paul Field Division","South Dakota","SD"
"56","St. Paul Field Division","Wisconsin","WI"
"57","Tampa Field Division","Florida","FL"
"58","Washington Field Division","District of Columbia",NA
"59","Washington Field Division","Virginia","VA"
